author,total,Start of the Week,Deletions,Additions,Commits
benmarwick,1,2013-08-31 21:00:00,0,0,0
benmarwick,1,2013-09-07 21:00:00,0,0,0
benmarwick,1,2013-09-14 21:00:00,0,0,0
benmarwick,1,2013-09-21 21:00:00,0,0,0
benmarwick,1,2013-09-28 21:00:00,0,0,0
benmarwick,1,2013-10-05 21:00:00,0,0,0
benmarwick,1,2013-10-12 21:00:00,0,0,0
benmarwick,1,2013-10-19 21:00:00,0,0,0
benmarwick,1,2013-10-26 22:00:00,0,0,0
benmarwick,1,2013-11-02 22:00:00,0,0,0
benmarwick,1,2013-11-09 22:00:00,0,0,0
benmarwick,1,2013-11-16 22:00:00,0,0,0
benmarwick,1,2013-11-23 22:00:00,0,0,0
benmarwick,1,2013-11-30 22:00:00,0,0,0
benmarwick,1,2013-12-07 22:00:00,0,0,0
benmarwick,1,2013-12-14 22:00:00,0,0,0
benmarwick,1,2013-12-21 22:00:00,0,0,0
benmarwick,1,2013-12-28 22:00:00,0,0,0
benmarwick,1,2014-01-04 22:00:00,0,0,0
benmarwick,1,2014-01-11 22:00:00,0,0,0
benmarwick,1,2014-01-18 22:00:00,0,0,0
benmarwick,1,2014-01-25 22:00:00,0,0,0
benmarwick,1,2014-02-01 22:00:00,0,0,0
benmarwick,1,2014-02-08 22:00:00,0,0,0
benmarwick,1,2014-02-15 22:00:00,0,0,0
benmarwick,1,2014-02-22 21:00:00,0,0,0
benmarwick,1,2014-03-01 21:00:00,0,0,0
benmarwick,1,2014-03-08 21:00:00,0,0,0
benmarwick,1,2014-03-15 21:00:00,0,0,0
benmarwick,1,2014-03-22 21:00:00,0,0,0
benmarwick,1,2014-03-29 21:00:00,0,0,0
benmarwick,1,2014-04-05 21:00:00,0,0,0
benmarwick,1,2014-04-12 21:00:00,0,0,0
benmarwick,1,2014-04-19 21:00:00,0,0,0
benmarwick,1,2014-04-26 21:00:00,0,0,0
benmarwick,1,2014-05-03 21:00:00,1,1,1
benmarwick,1,2014-05-10 21:00:00,0,0,0
benmarwick,1,2014-05-17 21:00:00,0,0,0
benmarwick,1,2014-05-24 21:00:00,0,0,0
benmarwick,1,2014-05-31 21:00:00,0,0,0
benmarwick,1,2014-06-07 21:00:00,0,0,0
benmarwick,1,2014-06-14 21:00:00,0,0,0
benmarwick,1,2014-06-21 21:00:00,0,0,0
benmarwick,1,2014-06-28 21:00:00,0,0,0
benmarwick,1,2014-07-05 21:00:00,0,0,0
benmarwick,1,2014-07-12 21:00:00,0,0,0
benmarwick,1,2014-07-19 21:00:00,0,0,0
benmarwick,1,2014-07-26 21:00:00,0,0,0
benmarwick,1,2014-08-02 21:00:00,0,0,0
benmarwick,1,2014-08-09 21:00:00,0,0,0
benmarwick,1,2014-08-16 21:00:00,0,0,0
benmarwick,1,2014-08-23 21:00:00,0,0,0
benmarwick,1,2014-08-30 21:00:00,0,0,0
benmarwick,1,2014-09-06 21:00:00,0,0,0
benmarwick,1,2014-09-13 21:00:00,0,0,0
benmarwick,1,2014-09-20 21:00:00,0,0,0
benmarwick,1,2014-09-27 21:00:00,0,0,0
benmarwick,1,2014-10-04 21:00:00,0,0,0
benmarwick,1,2014-10-11 21:00:00,0,0,0
benmarwick,1,2014-10-18 21:00:00,0,0,0
benmarwick,1,2014-10-25 22:00:00,0,0,0
benmarwick,1,2014-11-01 22:00:00,0,0,0
benmarwick,1,2014-11-08 22:00:00,0,0,0
benmarwick,1,2014-11-15 22:00:00,0,0,0
benmarwick,1,2014-11-22 22:00:00,0,0,0
benmarwick,1,2014-11-29 22:00:00,0,0,0
benmarwick,1,2014-12-06 22:00:00,0,0,0
benmarwick,1,2014-12-13 22:00:00,0,0,0
benmarwick,1,2014-12-20 22:00:00,0,0,0
benmarwick,1,2014-12-27 22:00:00,0,0,0
benmarwick,1,2015-01-03 22:00:00,0,0,0
benmarwick,1,2015-01-10 22:00:00,0,0,0
benmarwick,1,2015-01-17 22:00:00,0,0,0
benmarwick,1,2015-01-24 22:00:00,0,0,0
benmarwick,1,2015-01-31 22:00:00,0,0,0
benmarwick,1,2015-02-07 22:00:00,0,0,0
benmarwick,1,2015-02-14 22:00:00,0,0,0
benmarwick,1,2015-02-21 22:00:00,0,0,0
benmarwick,1,2015-02-28 21:00:00,0,0,0
benmarwick,1,2015-03-07 21:00:00,0,0,0
benmarwick,1,2015-03-14 21:00:00,0,0,0
benmarwick,1,2015-03-21 21:00:00,0,0,0
benmarwick,1,2015-03-28 21:00:00,0,0,0
benmarwick,1,2015-04-04 21:00:00,0,0,0
benmarwick,1,2015-04-11 21:00:00,0,0,0
benmarwick,1,2015-04-18 21:00:00,0,0,0
benmarwick,1,2015-04-25 21:00:00,0,0,0
benmarwick,1,2015-05-02 21:00:00,0,0,0
benmarwick,1,2015-05-09 21:00:00,0,0,0
benmarwick,1,2015-05-16 21:00:00,0,0,0
benmarwick,1,2015-05-23 21:00:00,0,0,0
benmarwick,1,2015-05-30 21:00:00,0,0,0
benmarwick,1,2015-06-06 21:00:00,0,0,0
benmarwick,1,2015-06-13 21:00:00,0,0,0
benmarwick,1,2015-06-20 21:00:00,0,0,0
benmarwick,1,2015-06-27 21:00:00,0,0,0
benmarwick,1,2015-07-04 21:00:00,0,0,0
benmarwick,1,2015-07-11 21:00:00,0,0,0
benmarwick,1,2015-07-18 21:00:00,0,0,0
benmarwick,1,2015-07-25 21:00:00,0,0,0
benmarwick,1,2015-08-01 21:00:00,0,0,0
benmarwick,1,2015-08-08 21:00:00,0,0,0
benmarwick,1,2015-08-15 21:00:00,0,0,0
benmarwick,1,2015-08-22 21:00:00,0,0,0
benmarwick,1,2015-08-29 21:00:00,0,0,0
benmarwick,1,2015-09-05 21:00:00,0,0,0
benmarwick,1,2015-09-12 21:00:00,0,0,0
benmarwick,1,2015-09-19 21:00:00,0,0,0
benmarwick,1,2015-09-26 21:00:00,0,0,0
benmarwick,1,2015-10-03 21:00:00,0,0,0
benmarwick,1,2015-10-10 21:00:00,0,0,0
benmarwick,1,2015-10-17 21:00:00,0,0,0
benmarwick,1,2015-10-24 22:00:00,0,0,0
benmarwick,1,2015-10-31 22:00:00,0,0,0
benmarwick,1,2015-11-07 22:00:00,0,0,0
benmarwick,1,2015-11-14 22:00:00,0,0,0
benmarwick,1,2015-11-21 22:00:00,0,0,0
benmarwick,1,2015-11-28 22:00:00,0,0,0
benmarwick,1,2015-12-05 22:00:00,0,0,0
benmarwick,1,2015-12-12 22:00:00,0,0,0
benmarwick,1,2015-12-19 22:00:00,0,0,0
benmarwick,1,2015-12-26 22:00:00,0,0,0
benmarwick,1,2016-01-02 22:00:00,0,0,0
benmarwick,1,2016-01-09 22:00:00,0,0,0
benmarwick,1,2016-01-16 22:00:00,0,0,0
benmarwick,1,2016-01-23 22:00:00,0,0,0
benmarwick,1,2016-01-30 22:00:00,0,0,0
benmarwick,1,2016-02-06 22:00:00,0,0,0
benmarwick,1,2016-02-13 22:00:00,0,0,0
benmarwick,1,2016-02-20 22:00:00,0,0,0
benmarwick,1,2016-02-27 21:00:00,0,0,0
benmarwick,1,2016-03-05 21:00:00,0,0,0
benmarwick,1,2016-03-12 21:00:00,0,0,0
benmarwick,1,2016-03-19 21:00:00,0,0,0
benmarwick,1,2016-03-26 21:00:00,0,0,0
remram44,1,2013-08-31 21:00:00,0,0,0
remram44,1,2013-09-07 21:00:00,0,0,0
remram44,1,2013-09-14 21:00:00,0,0,0
remram44,1,2013-09-21 21:00:00,0,0,0
remram44,1,2013-09-28 21:00:00,0,0,0
remram44,1,2013-10-05 21:00:00,0,0,0
remram44,1,2013-10-12 21:00:00,0,0,0
remram44,1,2013-10-19 21:00:00,0,0,0
remram44,1,2013-10-26 22:00:00,0,0,0
remram44,1,2013-11-02 22:00:00,0,0,0
remram44,1,2013-11-09 22:00:00,0,0,0
remram44,1,2013-11-16 22:00:00,0,0,0
remram44,1,2013-11-23 22:00:00,0,0,0
remram44,1,2013-11-30 22:00:00,0,0,0
remram44,1,2013-12-07 22:00:00,0,0,0
remram44,1,2013-12-14 22:00:00,0,0,0
remram44,1,2013-12-21 22:00:00,0,0,0
remram44,1,2013-12-28 22:00:00,0,0,0
remram44,1,2014-01-04 22:00:00,0,0,0
remram44,1,2014-01-11 22:00:00,0,0,0
remram44,1,2014-01-18 22:00:00,0,0,0
remram44,1,2014-01-25 22:00:00,0,0,0
remram44,1,2014-02-01 22:00:00,0,0,0
remram44,1,2014-02-08 22:00:00,0,0,0
remram44,1,2014-02-15 22:00:00,0,0,0
remram44,1,2014-02-22 21:00:00,0,0,0
remram44,1,2014-03-01 21:00:00,0,0,0
remram44,1,2014-03-08 21:00:00,0,0,0
remram44,1,2014-03-15 21:00:00,0,0,0
remram44,1,2014-03-22 21:00:00,0,0,0
remram44,1,2014-03-29 21:00:00,0,0,0
remram44,1,2014-04-05 21:00:00,0,0,0
remram44,1,2014-04-12 21:00:00,0,0,0
remram44,1,2014-04-19 21:00:00,0,0,0
remram44,1,2014-04-26 21:00:00,0,0,0
remram44,1,2014-05-03 21:00:00,0,0,0
remram44,1,2014-05-10 21:00:00,0,0,0
remram44,1,2014-05-17 21:00:00,0,0,0
remram44,1,2014-05-24 21:00:00,0,0,0
remram44,1,2014-05-31 21:00:00,0,0,0
remram44,1,2014-06-07 21:00:00,0,0,0
remram44,1,2014-06-14 21:00:00,0,0,0
remram44,1,2014-06-21 21:00:00,0,0,0
remram44,1,2014-06-28 21:00:00,0,0,0
remram44,1,2014-07-05 21:00:00,0,0,0
remram44,1,2014-07-12 21:00:00,0,0,0
remram44,1,2014-07-19 21:00:00,0,0,0
remram44,1,2014-07-26 21:00:00,0,0,0
remram44,1,2014-08-02 21:00:00,0,0,0
remram44,1,2014-08-09 21:00:00,0,0,0
remram44,1,2014-08-16 21:00:00,0,0,0
remram44,1,2014-08-23 21:00:00,0,0,0
remram44,1,2014-08-30 21:00:00,0,0,0
remram44,1,2014-09-06 21:00:00,0,0,0
remram44,1,2014-09-13 21:00:00,0,0,0
remram44,1,2014-09-20 21:00:00,0,0,0
remram44,1,2014-09-27 21:00:00,0,0,0
remram44,1,2014-10-04 21:00:00,0,0,0
remram44,1,2014-10-11 21:00:00,0,0,0
remram44,1,2014-10-18 21:00:00,0,0,0
remram44,1,2014-10-25 22:00:00,0,0,0
remram44,1,2014-11-01 22:00:00,0,0,0
remram44,1,2014-11-08 22:00:00,0,0,0
remram44,1,2014-11-15 22:00:00,0,0,0
remram44,1,2014-11-22 22:00:00,0,0,0
remram44,1,2014-11-29 22:00:00,0,0,0
remram44,1,2014-12-06 22:00:00,0,0,0
remram44,1,2014-12-13 22:00:00,0,0,0
remram44,1,2014-12-20 22:00:00,0,0,0
remram44,1,2014-12-27 22:00:00,0,0,0
remram44,1,2015-01-03 22:00:00,0,0,0
remram44,1,2015-01-10 22:00:00,0,0,0
remram44,1,2015-01-17 22:00:00,0,0,0
remram44,1,2015-01-24 22:00:00,0,0,0
remram44,1,2015-01-31 22:00:00,0,0,0
remram44,1,2015-02-07 22:00:00,0,0,0
remram44,1,2015-02-14 22:00:00,0,0,0
remram44,1,2015-02-21 22:00:00,0,0,0
remram44,1,2015-02-28 21:00:00,0,0,0
remram44,1,2015-03-07 21:00:00,0,0,0
remram44,1,2015-03-14 21:00:00,0,0,0
remram44,1,2015-03-21 21:00:00,0,0,0
remram44,1,2015-03-28 21:00:00,0,0,0
remram44,1,2015-04-04 21:00:00,0,0,0
remram44,1,2015-04-11 21:00:00,0,0,0
remram44,1,2015-04-18 21:00:00,0,0,0
remram44,1,2015-04-25 21:00:00,0,0,0
remram44,1,2015-05-02 21:00:00,0,0,0
remram44,1,2015-05-09 21:00:00,0,0,0
remram44,1,2015-05-16 21:00:00,0,0,0
remram44,1,2015-05-23 21:00:00,0,0,0
remram44,1,2015-05-30 21:00:00,0,0,0
remram44,1,2015-06-06 21:00:00,0,0,0
remram44,1,2015-06-13 21:00:00,0,0,0
remram44,1,2015-06-20 21:00:00,0,0,0
remram44,1,2015-06-27 21:00:00,0,0,0
remram44,1,2015-07-04 21:00:00,0,0,0
remram44,1,2015-07-11 21:00:00,0,0,0
remram44,1,2015-07-18 21:00:00,0,0,0
remram44,1,2015-07-25 21:00:00,0,0,0
remram44,1,2015-08-01 21:00:00,0,0,0
remram44,1,2015-08-08 21:00:00,0,0,0
remram44,1,2015-08-15 21:00:00,0,0,0
remram44,1,2015-08-22 21:00:00,0,0,0
remram44,1,2015-08-29 21:00:00,0,0,0
remram44,1,2015-09-05 21:00:00,0,0,0
remram44,1,2015-09-12 21:00:00,0,0,0
remram44,1,2015-09-19 21:00:00,0,0,0
remram44,1,2015-09-26 21:00:00,0,0,0
remram44,1,2015-10-03 21:00:00,0,0,0
remram44,1,2015-10-10 21:00:00,0,0,0
remram44,1,2015-10-17 21:00:00,0,0,0
remram44,1,2015-10-24 22:00:00,13,10,1
remram44,1,2015-10-31 22:00:00,0,0,0
remram44,1,2015-11-07 22:00:00,0,0,0
remram44,1,2015-11-14 22:00:00,0,0,0
remram44,1,2015-11-21 22:00:00,0,0,0
remram44,1,2015-11-28 22:00:00,0,0,0
remram44,1,2015-12-05 22:00:00,0,0,0
remram44,1,2015-12-12 22:00:00,0,0,0
remram44,1,2015-12-19 22:00:00,0,0,0
remram44,1,2015-12-26 22:00:00,0,0,0
remram44,1,2016-01-02 22:00:00,0,0,0
remram44,1,2016-01-09 22:00:00,0,0,0
remram44,1,2016-01-16 22:00:00,0,0,0
remram44,1,2016-01-23 22:00:00,0,0,0
remram44,1,2016-01-30 22:00:00,0,0,0
remram44,1,2016-02-06 22:00:00,0,0,0
remram44,1,2016-02-13 22:00:00,0,0,0
remram44,1,2016-02-20 22:00:00,0,0,0
remram44,1,2016-02-27 21:00:00,0,0,0
remram44,1,2016-03-05 21:00:00,0,0,0
remram44,1,2016-03-12 21:00:00,0,0,0
remram44,1,2016-03-19 21:00:00,0,0,0
remram44,1,2016-03-26 21:00:00,0,0,0
braganholo,35,2013-08-31 21:00:00,0,0,0
braganholo,35,2013-09-07 21:00:00,11,473,4
braganholo,35,2013-09-14 21:00:00,832,922,3
braganholo,35,2013-09-21 21:00:00,60,59,4
braganholo,35,2013-09-28 21:00:00,0,0,0
braganholo,35,2013-10-05 21:00:00,20,163,2
braganholo,35,2013-10-12 21:00:00,0,0,0
braganholo,35,2013-10-19 21:00:00,0,0,0
braganholo,35,2013-10-26 22:00:00,150,14887,3
braganholo,35,2013-11-02 22:00:00,1,552,2
braganholo,35,2013-11-09 22:00:00,2,1635,1
braganholo,35,2013-11-16 22:00:00,0,0,0
braganholo,35,2013-11-23 22:00:00,300,703,4
braganholo,35,2013-11-30 22:00:00,0,0,0
braganholo,35,2013-12-07 22:00:00,0,0,0
braganholo,35,2013-12-14 22:00:00,0,0,0
braganholo,35,2013-12-21 22:00:00,0,0,0
braganholo,35,2013-12-28 22:00:00,0,0,0
braganholo,35,2014-01-04 22:00:00,0,0,0
braganholo,35,2014-01-11 22:00:00,0,0,0
braganholo,35,2014-01-18 22:00:00,0,0,0
braganholo,35,2014-01-25 22:00:00,0,0,0
braganholo,35,2014-02-01 22:00:00,0,0,0
braganholo,35,2014-02-08 22:00:00,0,0,0
braganholo,35,2014-02-15 22:00:00,0,0,0
braganholo,35,2014-02-22 21:00:00,0,0,0
braganholo,35,2014-03-01 21:00:00,11,3,2
braganholo,35,2014-03-08 21:00:00,21120,8,2
braganholo,35,2014-03-15 21:00:00,7,120,3
braganholo,35,2014-03-22 21:00:00,0,0,0
braganholo,35,2014-03-29 21:00:00,0,0,0
braganholo,35,2014-04-05 21:00:00,0,0,0
braganholo,35,2014-04-12 21:00:00,0,0,0
braganholo,35,2014-04-19 21:00:00,0,0,0
braganholo,35,2014-04-26 21:00:00,0,0,0
braganholo,35,2014-05-03 21:00:00,12,20,1
braganholo,35,2014-05-10 21:00:00,0,0,0
braganholo,35,2014-05-17 21:00:00,0,0,0
braganholo,35,2014-05-24 21:00:00,0,0,0
braganholo,35,2014-05-31 21:00:00,0,0,0
braganholo,35,2014-06-07 21:00:00,4,4,2
braganholo,35,2014-06-14 21:00:00,0,6,1
braganholo,35,2014-06-21 21:00:00,0,0,0
braganholo,35,2014-06-28 21:00:00,0,0,0
braganholo,35,2014-07-05 21:00:00,0,0,0
braganholo,35,2014-07-12 21:00:00,0,0,0
braganholo,35,2014-07-19 21:00:00,0,0,0
braganholo,35,2014-07-26 21:00:00,0,0,0
braganholo,35,2014-08-02 21:00:00,0,0,0
braganholo,35,2014-08-09 21:00:00,0,0,0
braganholo,35,2014-08-16 21:00:00,0,0,0
braganholo,35,2014-08-23 21:00:00,0,0,0
braganholo,35,2014-08-30 21:00:00,0,0,0
braganholo,35,2014-09-06 21:00:00,0,0,0
braganholo,35,2014-09-13 21:00:00,0,0,0
braganholo,35,2014-09-20 21:00:00,0,0,0
braganholo,35,2014-09-27 21:00:00,0,0,0
braganholo,35,2014-10-04 21:00:00,0,0,0
braganholo,35,2014-10-11 21:00:00,0,0,0
braganholo,35,2014-10-18 21:00:00,0,0,0
braganholo,35,2014-10-25 22:00:00,0,0,0
braganholo,35,2014-11-01 22:00:00,0,0,0
braganholo,35,2014-11-08 22:00:00,0,0,0
braganholo,35,2014-11-15 22:00:00,0,0,0
braganholo,35,2014-11-22 22:00:00,0,0,0
braganholo,35,2014-11-29 22:00:00,0,0,0
braganholo,35,2014-12-06 22:00:00,0,0,0
braganholo,35,2014-12-13 22:00:00,0,0,0
braganholo,35,2014-12-20 22:00:00,0,0,0
braganholo,35,2014-12-27 22:00:00,0,0,0
braganholo,35,2015-01-03 22:00:00,0,0,0
braganholo,35,2015-01-10 22:00:00,0,0,0
braganholo,35,2015-01-17 22:00:00,0,0,0
braganholo,35,2015-01-24 22:00:00,0,0,0
